number,flagCount,carrierType,isVoip,isSpoofed
+18005282090,47,voip,true,false
+18664847835,39,voip,true,false
+12024561111,31,nonFixedVoip,true,true
+18882804331,28,voip,true,false
+18009991111,52,nonFixedVoip,true,true
+13109875432,18,voip,true,false
+17138234567,22,prepaid,false,false
+14155550199,44,nonFixedVoip,true,true
+18005559876,35,voip,true,false
+12125551234,29,voip,true,false
+18773451234,41,nonFixedVoip,true,false
+16465559012,19,voip,true,false
+18002345678,55,nonFixedVoip,true,true
+13235556789,23,prepaid,false,false
+17025554321,38,voip,true,false
+18558884444,27,voip,true,false
+14085553210,33,nonFixedVoip,true,false
+16175558765,21,voip,true,false
+18004443322,48,nonFixedVoip,true,true
+12145556677,16,prepaid,false,false
+17025551111,36,voip,true,false
+18662223344,43,nonFixedVoip,true,false
+13055559988,25,voip,true,false
+18887776655,31,nonFixedVoip,true,true
+14045554433,20,prepaid,false,false
+16025553322,37,voip,true,false
+18553334455,45,nonFixedVoip,true,false
+12815556655,18,voip,true,false
+17135557788,29,prepaid,false,false
+18004567890,53,nonFixedVoip,true,true
+14155559876,24,voip,true,false
+16175554433,32,nonFixedVoip,true,false
+18772223344,41,voip,true,false
+13235558877,22,prepaid,false,false
+17025556655,35,voip,true,false
+18557779988,28,nonFixedVoip,true,true
+12145553322,19,voip,true,false
+14085557766,38,nonFixedVoip,true,false
+16465558877,26,voip,true,false
+18005671234,44,nonFixedVoip,true,true
+13105551122,21,prepaid,false,false
+17138885566,33,voip,true,false
+18664443322,47,nonFixedVoip,true,false
+12025558899,27,voip,true,false
+14155556677,34,nonFixedVoip,true,true
+16025554455,23,prepaid,false,false
+18557778899,39,voip,true,false
+13235551122,18,nonFixedVoip,true,false
+17025559988,31,voip,true,false
+18882224455,50,nonFixedVoip,true,true
